Λήμμα (Lemma),POS,Drill_Type,Front,Back
αφοσιώνομαι,Verb,Passive Participle,αφοσιώνομαι (Passive Participle),‑ο
αφρικανικός,Adjective,Feminine,αφρικανικός (Feminine),αφρικανική
αφρικανικός,Adjective,Neuter,αφρικανικός (Neuter),αφρικανικό
αφρόλουτρο,Noun,Plural,αφρόλουτρο (Plural),αφρόλουτρα
αφρόλουτρο,Noun,Genitive Singular,αφρόλουτρο (Genitive Singular),αφρόλουτρου
αφόρητος,Adjective,Feminine,αφόρητος (Feminine),αφόρητη
αφόρητος,Adjective,Neuter,αφόρητος (Neuter),αφόρητο
αφύσικος,Adjective,Feminine,αφύσικος (Feminine),αφύσικη
αφύσικος,Adjective,Neuter,αφύσικος (Neuter),αφύσικο
αχανής,Adjective,Feminine,αχανής (Feminine),αχανής
αχανής,Adjective,Neuter,αχανής (Neuter),αχανές
αχλάδι,Noun,Plural,αχλάδι (Plural),αχλάδια
αχλάδι,Noun,Genitive Singular,αχλάδι (Genitive Singular),αχλαδιού
αχυρώνας,Noun,Plural,αχυρώνας (Plural),αχυρώνες
αχυρώνας,Noun,Genitive Singular,αχυρώνας (Genitive Singular),αχυρώνα
αόρατος,Adjective,Feminine,αόρατος (Feminine),αόρατη
αόρατος,Adjective,Neuter,αόρατος (Neuter),αόρατο
αόριστος,Adjective,Feminine,αόριστος (Feminine),αόριστη
αόριστος,Adjective,Neuter,αόριστος (Neuter),αόριστο
αόριστος,Noun,Plural,αόριστος (Plural),αόριστοι
αόριστος,Noun,Genitive Singular,αόριστος (Genitive Singular),αορίστου
αύξηση,Noun,Plural,αύξηση (Plural),αυξήσεις
αύξηση,Noun,Genitive Singular,αύξηση (Genitive Singular),αύξησης
βάζω,Verb,Active Participle,βάζω (Active Participle),έχοντας βάλει
βάθος,Noun,Plural,βάθος (Plural),βάθη
βάθος,Noun,Genitive Singular,βάθος (Genitive Singular),βάθους
βάλτος,Noun,Plural,βάλτος (Plural),βάλτοι
βάλτος,Noun,Genitive Singular,βάλτος (Genitive Singular),βάλτου
βάπτισμα,Noun,Plural,βάπτισμα (Plural),βαπτίσματα
βάπτισμα,Noun,Genitive Singular,βάπτισμα (Genitive Singular),βαπτίσματος
βάρδια,Noun,Plural,βάρδια (Plural),βάρδιες
βάρδια,Noun,Genitive Singular,βάρδια (Genitive Singular),βάρδιας
βάρκα,Noun,Plural,βάρκα (Plural),βάρκες
βάρκα,Noun,Genitive Singular,βάρκα (Genitive Singular),βάρκας
βάρος,Noun,Plural,βάρος (Plural),βάρη
βάρος,Noun,Genitive Singular,βάρος (Genitive Singular),βάρους
βάσανο,Noun,Plural,βάσανο (Plural),βάσανα
βάσανο,Noun,Genitive Singular,βάσανο (Genitive Singular),βάσανου
βάση,Noun,Plural,βάση (Plural),βάσεις
βάση,Noun,Genitive Singular,βάση (Genitive Singular),βάσης
βάτραχος,Noun,Plural,βάτραχος (Plural),βάτραχοι
βάτραχος,Noun,Genitive Singular,βάτραχος (Genitive Singular),βατράχου
βάφτιση,Noun,Plural,βάφτιση (Plural),βαφτίσεις
βάφτιση,Noun,Genitive Singular,βάφτιση (Genitive Singular),βάφτισης
βάφω,Verb,Active Participle,βάφω (Active Participle),έχοντας βάψει
βέβαιος,Adjective,Feminine,βέβαιος (Feminine),βέβαια
βέβαιος,Adjective,Neuter,βέβαιος (Neuter),βέβαιο
βέλος,Noun,Plural,βέλος (Plural),βέλη
βέλος,Noun,Genitive Singular,βέλος (Genitive Singular),βέλους
βήμα,Noun,Plural,βήμα (Plural),βήματα
βήμα,Noun,Genitive Singular,βήμα (Genitive Singular),βήματος
βήχας,Noun,Plural,βήχας (Plural),βήχες
βήχας,Noun,Genitive Singular,βήχας (Genitive Singular),βήχα
βία,Noun,Genitive Singular,βία (Genitive Singular),βίας
βίαιος,Adjective,Feminine,βίαιος (Feminine),βίαιη
βίαιος,Adjective,Neuter,βίαιος (Neuter),βίαιο
βίζα,Noun,Plural,βίζα (Plural),βίζες
βίζα,Noun,Genitive Singular,βίζα (Genitive Singular),βίζας
βίντεο,Noun,Plural,βίντεο (Plural),βίντεα
βίντεο,Noun,Genitive Singular,βίντεο (Genitive Singular),βίντεου
βαγόνι,Noun,Plural,βαγόνι (Plural),βαγόνια
βαγόνι,Noun,Genitive Singular,βαγόνι (Genitive Singular),βαγονιού
βαδίζω,Verb,Active Participle,βαδίζω (Active Participle),έχοντας βαδίσει
βαθμίδα,Noun,Plural,βαθμίδα (Plural),βαθμίδες
βαθμίδα,Noun,Genitive Singular,βαθμίδα (Genitive Singular),βαθμίδας
βαθμολογία,Noun,Plural,βαθμολογία (Plural),βαθμολογίες
βαθμολογία,Noun,Genitive Singular,βαθμολογία (Genitive Singular),βαθμολογίας
βαθμός,Noun,Plural,βαθμός (Plural),βαθμοί
βαθμός,Noun,Genitive Singular,βαθμός (Genitive Singular),βαθμού
βαθύς,Adjective,Feminine,βαθύς (Feminine),βαθιά
βαθύς,Adjective,Neuter,βαθύς (Neuter),βαθύ
βακτήριο,Noun,Plural,βακτήριο (Plural),βακτήρια
βακτήριο,Noun,Genitive Singular,βακτήριο (Genitive Singular),βακτήριου
βαλίτσα,Noun,Plural,βαλίτσα (Plural),βαλίτσες
βαλίτσα,Noun,Genitive Singular,βαλίτσα (Genitive Singular),βαλίτσας
βαλανιδιά,Noun,Plural,βαλανιδιά (Plural),βαλανιδιές
βαλανιδιά,Noun,Genitive Singular,βαλανιδιά (Genitive Singular),βαλανιδιάς
βαμβάκι,Noun,Plural,βαμβάκι (Plural),βαμβάκια
βαμβάκι,Noun,Genitive Singular,βαμβάκι (Genitive Singular),βαμβακιού
βαμβακερός,Adjective,Feminine,βαμβακερός (Feminine),βαμβακερή
βαμβακερός,Adjective,Neuter,βαμβακερός (Neuter),βαμβακερό
βαράω,Verb,Passive Participle,βαράω (Passive Participle),‑ο
βαράω,Verb,Active Participle,βαράω (Active Participle),έχοντας βαρέσει
βαρέλι,Noun,Plural,βαρέλι (Plural),βαρέλια
βαρέλι,Noun,Genitive Singular,βαρέλι (Genitive Singular),βαρελιού
βαραίνω,Verb,Active Participle,βαραίνω (Active Participle),έχοντας βαρύνει
βαρετός,Adjective,Feminine,βαρετός (Feminine),βαρετή
βαρετός,Adjective,Neuter,βαρετός (Neuter),βαρετό
βαριά,Noun,Plural,βαριά (Plural),βαριές
βαριά,Noun,Genitive Singular,βαριά (Genitive Singular),βαριάς
βαρόνος,Noun,Plural,βαρόνος (Plural),βαρόνοι
βαρόνος,Noun,Genitive Singular,βαρόνος (Genitive Singular),βαρόνου
βαρύς,Adjective,Feminine,βαρύς (Feminine),βαριά
βαρύς,Adjective,Neuter,βαρύς (Neuter),βαρύ
βαρύτητα,Noun,Plural,βαρύτητα (Plural),βαρύτητες
βαρύτητα,Noun,Genitive Singular,βαρύτητα (Genitive Singular),βαρύτητας
βασίζω,Verb,Active Participle,βασίζω (Active Participle),έχοντας βασίσει
βασίλειο,Noun,Plural,βασίλειο (Plural),βασίλεια
βασίλειο,Noun,Genitive Singular,βασίλειο (Genitive Singular),βασίλειου
βασίλισσα,Noun,Plural,βασίλισσα (Plural),βασίλισσες
βασίλισσα,Noun,Genitive Singular,βασίλισσα (Genitive Singular),βασίλισσας
βασανίζω,Verb,Active Participle,βασανίζω (Active Participle),έχοντας βασανίσει
βασανιστήριο,Noun,Plural,βασανιστήριο (Plural),βασανιστήρια
βασανιστήριο,Noun,Genitive Singular,βασανιστήριο (Genitive Singular),βασανιστήριου
βασικός,Adjective,Feminine,βασικός (Feminine),βασική
βασικός,Adjective,Neuter,βασικός (Neuter),βασικό
βασιλεία,Noun,Plural,βασιλεία (Plural),βασιλείες
βασιλεία,Noun,Genitive Singular,βασιλεία (Genitive Singular),βασιλείας
βασιλεύω,Verb,Active Participle,βασιλεύω (Active Participle),έχοντας βασιλέψει
βασιλεύω,Verb,Passive Participle,βασιλεύω (Passive Participle),‑o
βασιλιάς,Noun,Plural,βασιλιάς (Plural),βασιλιάδες
βασιλιάς,Noun,Genitive Singular,βασιλιάς (Genitive Singular),βασιλιά
βασιλικός,Adjective,Feminine,βασιλικός (Feminine),βασιλική
βασιλικός,Adjective,Neuter,βασιλικός (Neuter),βασιλικό
βασιλικός,Noun,Plural,βασιλικός (Plural),βασιλικοί
βασιλικός,Noun,Genitive Singular,βασιλικός (Genitive Singular),βασιλικού
βγάζω,Verb,Active Participle,βγάζω (Active Participle),έχοντας βγάλει
βγαίνω,Verb,Active Participle,βγαίνω (Active Participle),έχοντας βγει
βγαίνω,Verb,Passive Participle,βγαίνω (Passive Participle),‑ο
βδομάδα,Noun,Plural,βδομάδα (Plural),βδομάδες
βδομάδα,Noun,Genitive Singular,βδομάδα (Genitive Singular),βδομάδας
βεβαίωση,Noun,Plural,βεβαίωση (Plural),βεβαιώσεις
βεβαίωση,Noun,Genitive Singular,βεβαίωση (Genitive Singular),βεβαίωσης
βεβαιότητα,Noun,Plural,βεβαιότητα (Plural),βεβαιότητες
βεβαιότητα,Noun,Genitive Singular,βεβαιότητα (Genitive Singular),βεβαιότητας
βεβαιώνω,Verb,Active Participle,βεβαιώνω (Active Participle),έχοντας βεβαιώσει
βελτίωση,Noun,Plural,βελτίωση (Plural),βελτιώσεις
βελτίωση,Noun,Genitive Singular,βελτίωση (Genitive Singular),βελτίωσης
βελτιστοποίηση,Noun,Plural,βελτιστοποίηση (Plural),βελτιστοποιήσεις
βελτιστοποίηση,Noun,Genitive Singular,βελτιστοποίηση (Genitive Singular),βελτιστοποίησης
βελτιώνω,Verb,Active Participle,βελτιώνω (Active Participle),έχοντας βελτιώσει
βελόνα,Noun,Plural,βελόνα (Plural),βελόνες
βελόνα,Noun,Genitive Singular,βελόνα (Genitive Singular),βελόνας
βενζίνη,Noun,Plural,βενζίνη (Plural),βενζίνες
βενζίνη,Noun,Genitive Singular,βενζίνη (Genitive Singular),βενζίνης
βενζινάδικο,Noun,Plural,βενζινάδικο (Plural),βενζινάδικα
βενζινάδικο,Noun,Genitive Singular,βενζινάδικο (Genitive Singular),βενζινάδικου
βεράντα,Noun,Plural,βεράντα (Plural),βεράντες
βεράντα,Noun,Genitive Singular,βεράντα (Genitive Singular),βεράντας
βηματίζω,Verb,Active Participle,βηματίζω (Active Participle),έχοντας βηματίσει
βιάζομαι,Verb,Passive Participle,βιάζομαι (Passive Participle),βιασμένος
βιάζω,Verb,Passive Participle,βιάζω (Passive Participle),βιασμένος
βιάζω,Verb,Active Participle,βιάζω (Active Participle),έχοντας βιάσει
βιασμός,Noun,Plural,βιασμός (Plural),βιασμοί
βιασμός,Noun,Genitive Singular,βιασμός (Genitive Singular),βιασμού
βιαστικός,Adjective,Feminine,βιαστικός (Feminine),βιαστική
βιαστικός,Adjective,Neuter,βιαστικός (Neuter),βιαστικό
βιασύνη,Noun,Plural,βιασύνη (Plural),βιασύνες
βιασύνη,Noun,Genitive Singular,βιασύνη (Genitive Singular),βιασύνης
βιβλίο,Noun,Plural,βιβλίο (Plural),βιβλία
βιβλίο,Noun,Genitive Singular,βιβλίο (Genitive Singular),βιβλίου
βιβλιαράκι,Noun,Plural,βιβλιαράκι (Plural),βιβλιαράκια
βιβλιογραφία,Noun,Plural,βιβλιογραφία (Plural),βιβλιογραφίες
βιβλιογραφία,Noun,Genitive Singular,βιβλιογραφία (Genitive Singular),βιβλιογραφίας
βιβλιοθήκη,Noun,Plural,βιβλιοθήκη (Plural),βιβλιοθήκες
βιβλιοθήκη,Noun,Genitive Singular,βιβλιοθήκη (Genitive Singular),βιβλιοθήκης
βιβλιοπωλείο,Noun,Plural,βιβλιοπωλείο (Plural),βιβλιοπωλεία
βιβλιοπωλείο,Noun,Genitive Singular,βιβλιοπωλείο (Genitive Singular),βιβλιοπωλείου
βιογραφία,Noun,Plural,βιογραφία (Plural),βιογραφίες
βιογραφία,Noun,Genitive Singular,βιογραφία (Genitive Singular),βιογραφίας
βιογραφικός,Adjective,Feminine,βιογραφικός (Feminine),βιογραφική
βιογραφικός,Adjective,Neuter,βιογραφικός (Neuter),βιογραφικό
βιολί,Noun,Plural,βιολί (Plural),βιολιά
βιολί,Noun,Genitive Singular,βιολί (Genitive Singular),βιολιού
βιολογία,Noun,Plural,βιολογία (Plural),βιολογίες
βιολογία,Noun,Genitive Singular,βιολογία (Genitive Singular),βιολογίας
